seed_idx;voxel_idx;label;similarity_coefficient;selected
4;16907;4;427.352112;1
18;15297;4;422.739990;1
40;21689;4;421.896790;1
1;16292;4;420.622864;1
13;18110;4;419.303009;1
15;15301;4;416.559235;1
19;21510;4;415.152527;1
22;24305;4;407.914276;1
7;15697;4;406.394287;1
6;22490;4;405.877441;1
16;19111;4;405.722870;1
5;21909;4;404.147705;1
20;19110;4;402.573273;1
33;18890;4;402.292206;1
43;16305;4;393.223663;1
12;15899;4;392.570312;1
2;22908;4;391.623505;1
37;20689;4;388.642456;1
8;22892;4;379.363098;1
3;17899;4;363.103455;1
44;20092;4;362.153931;0
32;19306;4;360.246307;0
14;16297;4;351.762360;0
11;17508;4;350.536926;0
25;23105;4;350.182892;0
21;21092;4;349.419525;0
17;19704;4;347.086578;0
10;24097;4;346.872833;0
42;16895;4;345.747406;0
26;19907;4;340.582855;0
36;22500;4;333.449066;0
28;20694;4;331.380554;0
35;16500;4;330.988403;0
39;18696;4;329.412689;0
45;21706;4;327.188019;0
9;23294;4;326.673859;0
31;21294;4;326.635590;0
24;18907;4;320.497589;0
0;21904;4;319.017090;0
48;20099;4;314.793640;0
41;23101;4;313.852905;0
34;17505;4;311.459564;0
38;19093;4;311.402496;0
23;22097;4;309.584259;0
29;19102;4;309.012390;0
46;22895;4;309.003052;0
30;21303;4;303.754517;0
49;18303;4;296.953186;0
27;21902;4;292.492340;0
47;23900;4;286.589996;0
