superpixel,nimage,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,kappa,global_accuracy,nfeat
25,2,1011,0.916667,0.717949,0.853591,0.850467,0.89747,0.631579,0.905178,0.819909,0.890305,36300
25,2,1213,0.941667,0.769231,0.883978,0.862928,0.882823,0.547368,0.917775,0.834293,0.89929,36300
25,2,123,0.944444,0.717949,0.875691,0.82866,0.874834,0.610526,0.916725,0.827483,0.895529,36300
25,2,2735,0.941667,0.666667,0.850829,0.82866,0.909454,0.557895,0.922673,0.836133,0.900961,36300
25,2,42,0.941667,0.615385,0.856354,0.825545,0.893475,0.515789,0.912876,0.821044,0.891559,36300
25,2,456,0.933333,0.717949,0.859116,0.841121,0.873502,0.642105,0.910077,0.820367,0.890723,36300
25,2,6854,0.952778,0.717949,0.889503,0.872274,0.898802,0.663158,0.919524,0.846664,0.906603,36300
25,2,7580,0.933333,0.717949,0.870166,0.841121,0.904128,0.6,0.921624,0.838799,0.902424,36300
25,2,789,0.947222,0.769231,0.853591,0.856698,0.890812,0.473684,0.922323,0.83393,0.899499,36300
25,2,8900,0.938889,0.692308,0.856354,0.841121,0.89747,0.642105,0.916375,0.832279,0.898245,36300
25,3,1011,0.938889,0.769231,0.88674,0.838006,0.893475,0.610526,0.923723,0.841695,0.904095,54450
25,3,1213,0.952778,0.74359,0.872928,0.847352,0.87217,0.589474,0.922323,0.834573,0.899916,54450
25,3,123,0.936111,0.74359,0.875691,0.853583,0.889481,0.578947,0.921274,0.836705,0.90117,54450
25,3,2735,0.944444,0.846154,0.870166,0.866044,0.929427,0.642105,0.930021,0.861267,0.915796,54450
25,3,42,0.936111,0.74359,0.856354,0.806854,0.886818,0.610526,0.923723,0.831203,0.898245,54450
25,3,456,0.944444,0.692308,0.848066,0.838006,0.893475,0.6,0.925822,0.837573,0.902006,54450
25,3,6854,0.944444,0.769231,0.889503,0.850467,0.906791,0.6,0.924073,0.848058,0.907647,54450
25,3,7580,0.952778,0.769231,0.895028,0.850467,0.889481,0.631579,0.920224,0.842567,0.904304,54450
25,3,789,0.933333,0.794872,0.870166,0.841121,0.902796,0.568421,0.927922,0.84426,0.905976,54450
25,3,8900,0.947222,0.769231,0.859116,0.872274,0.885486,0.621053,0.93212,0.848806,0.908901,54450
25,4,1011,0.941667,0.692308,0.903315,0.88785,0.906791,0.6,0.931071,0.858937,0.914542,72600
25,4,1213,0.938889,0.717949,0.881215,0.872274,0.885486,0.568421,0.919524,0.83693,0.900961,72600
25,4,123,0.95,0.692308,0.875691,0.88785,0.908122,0.621053,0.936319,0.862142,0.916841,72600
25,4,2735,0.952778,0.717949,0.881215,0.884735,0.91478,0.589474,0.93387,0.86182,0.916423,72600
25,4,42,0.933333,0.820513,0.881215,0.853583,0.906791,0.631579,0.925472,0.848714,0.908274,72600
25,4,456,0.947222,0.769231,0.848066,0.847352,0.904128,0.610526,0.925822,0.843584,0.905349,72600
25,4,6854,0.933333,0.717949,0.88674,0.847352,0.898802,0.589474,0.921624,0.840178,0.903051,72600
25,4,7580,0.95,0.74359,0.870166,0.88162,0.882823,0.589474,0.919524,0.838267,0.901797,72600
25,4,789,0.933333,0.794872,0.867403,0.859813,0.898802,0.547368,0.927222,0.843969,0.905558,72600
25,4,8900,0.95,0.74359,0.881215,0.88162,0.898802,0.568421,0.925122,0.848372,0.908065,72600
25,5,1011,0.955556,0.769231,0.903315,0.894081,0.936085,0.631579,0.939468,0.879413,0.92687,90750
25,5,1213,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,5,123,0.941667,0.769231,0.88674,0.862928,0.894807,0.621053,0.921274,0.84323,0.904931,90750
25,5,2735,0.947222,0.717949,0.864641,0.878505,0.917443,0.621053,0.926872,0.853584,0.911199,90750
25,5,42,0.938889,0.74359,0.889503,0.875389,0.905459,0.589474,0.928621,0.85297,0.91099,90750
25,5,456,0.947222,0.769231,0.859116,0.847352,0.912117,0.578947,0.924423,0.844995,0.905976,90750
25,5,6854,0.958333,0.820513,0.900553,0.869159,0.904128,0.642105,0.93247,0.862655,0.916632,90750
25,5,7580,0.941667,0.769231,0.875691,0.88785,0.909454,0.631579,0.93282,0.859799,0.915169,90750
25,5,789,0.95,0.74359,0.872928,0.872274,0.884154,0.557895,0.928621,0.845196,0.906394,90750
25,5,8900,0.95,0.769231,0.903315,0.872274,0.905459,0.610526,0.926522,0.855344,0.912035,90750
50,2,123,0.944444,0.74359,0.837017,0.819315,0.874834,0.557895,0.907628,0.811503,0.885708,72600
50,2,2735,0.958333,0.74359,0.861878,0.834891,0.900133,0.568421,0.923723,0.840392,0.903468,72600
50,2,42,0.95,0.794872,0.861878,0.838006,0.888149,0.578947,0.906928,0.822233,0.891768,72600
50,2,6854,0.947222,0.692308,0.870166,0.853583,0.886818,0.610526,0.924773,0.840281,0.903468,72600
50,2,7580,0.930556,0.74359,0.856354,0.869159,0.910786,0.631579,0.922673,0.844411,0.905558,72600
50,2,8900,0.944444,0.641026,0.861878,0.878505,0.900133,0.547368,0.920924,0.839127,0.902424,72600
