superpixel,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,kappa,global_accuracy,nfeat
100,1011,0.944444,0.666667,0.839779,0.825545,0.888149,0.589474,0.904129,0.813025,0.886335,72600
100,1213,0.955556,0.769231,0.842541,0.806854,0.889481,0.6,0.903429,0.814689,0.886962,72600
100,123,0.927778,0.641026,0.864641,0.82243,0.873502,0.589474,0.89993,0.805612,0.881738,72600
100,2735,0.916667,0.615385,0.870166,0.847352,0.874834,0.610526,0.904479,0.813372,0.886126,72600
100,42,0.944444,0.615385,0.861878,0.819315,0.86285,0.568421,0.895731,0.799435,0.877769,72600
100,456,0.9,0.692308,0.837017,0.797508,0.85486,0.568421,0.890833,0.782059,0.86753,72600
100,6854,0.933333,0.717949,0.859116,0.844237,0.896138,0.6,0.904129,0.820099,0.890096,72600
100,7580,0.908333,0.615385,0.842541,0.806854,0.848202,0.652632,0.893982,0.788589,0.871082,72600
100,789,0.936111,0.717949,0.825967,0.834891,0.88016,0.484211,0.913576,0.814945,0.888007,72600
100,8900,0.95,0.615385,0.867403,0.841121,0.910786,0.578947,0.917775,0.836843,0.900961,72600
15,1011,0.952778,0.820513,0.828729,0.831776,0.877497,0.610526,0.902729,0.812336,0.885708,10890
15,1213,0.952778,0.846154,0.842541,0.841121,0.89747,0.536842,0.912176,0.827195,0.894902,10890
15,123,0.944444,0.820513,0.839779,0.819315,0.86285,0.663158,0.894682,0.802331,0.879022,10890
15,2735,0.944444,0.769231,0.853591,0.856698,0.884154,0.536842,0.89888,0.812792,0.885499,10890
15,42,0.925,0.666667,0.848066,0.816199,0.860186,0.568421,0.889083,0.788702,0.871082,10890
15,456,0.922222,0.74359,0.850829,0.872274,0.853529,0.642105,0.90098,0.807641,0.882992,10890
15,6854,0.936111,0.769231,0.861878,0.838006,0.866844,0.642105,0.902379,0.812591,0.885708,10890
15,7580,0.933333,0.769231,0.834254,0.813084,0.850865,0.684211,0.90028,0.800658,0.878813,10890
15,789,0.933333,0.769231,0.848066,0.82866,0.896138,0.610526,0.911826,0.824797,0.893439,10890
15,8900,0.958333,0.769231,0.831492,0.816199,0.868176,0.652632,0.909377,0.815959,0.888216,10890
150,1011,0.947222,0.717949,0.837017,0.831776,0.886818,0.557895,0.909727,0.817945,0.889678,108900
150,1213,0.944444,0.692308,0.853591,0.819315,0.892144,0.515789,0.89888,0.808439,0.883201,108900
150,123,0.925,0.769231,0.81768,0.772586,0.870839,0.621053,0.90098,0.795983,0.876515,108900
150,2735,0.936111,0.589744,0.837017,0.82243,0.865513,0.621053,0.908677,0.809344,0.884455,108900
150,42,0.95,0.717949,0.839779,0.825545,0.904128,0.452632,0.903079,0.813212,0.886335,108900
150,456,0.925,0.589744,0.825967,0.76947,0.842876,0.515789,0.889433,0.772395,0.862098,108900
150,6854,0.916667,0.666667,0.861878,0.862928,0.882823,0.452632,0.911127,0.816807,0.889051,108900
150,7580,0.916667,0.74359,0.850829,0.82866,0.885486,0.568421,0.903779,0.810665,0.884873,108900
150,789,0.944444,0.820513,0.900553,0.806854,0.884154,0.484211,0.910777,0.822779,0.892186,108900
150,8900,0.955556,0.717949,0.870166,0.831776,0.894807,0.526316,0.906578,0.822186,0.891559,108900
200,1011,0.947222,0.74359,0.850829,0.838006,0.901465,0.547368,0.909727,0.824814,0.893439,145200
200,1213,0.955556,0.666667,0.853591,0.778816,0.878828,0.526316,0.909027,0.810621,0.88529,145200
200,123,0.952778,0.717949,0.848066,0.788162,0.869507,0.6,0.902729,0.805637,0.881947,145200
200,2735,0.936111,0.641026,0.861878,0.841121,0.864181,0.515789,0.908677,0.811686,0.885708,145200
200,42,0.941667,0.641026,0.845304,0.806854,0.885486,0.6,0.906228,0.812649,0.886126,145200
200,456,0.936111,0.692308,0.867403,0.809969,0.878828,0.484211,0.896781,0.801301,0.879022,145200
