superpixel,nimage,technique,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,kappa,global_accuracy,nfeat
25,2,cossine,1011,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,123,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,2735,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,42,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,456,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,6854,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,7580,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,789,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,cossine,8900,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,1011,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,123,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,2735,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,42,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,456,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,6854,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,7580,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,789,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,2,euclidean,8900,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,1011,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,123,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,2735,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,42,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,456,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,6854,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,7580,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,789,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
25,3,cossine,8900,0.938889,0.666667,0.864641,0.844237,0.91478,0.536842,0.929321,0.84639,0.907229,90750
