Misclassified Image; Certainty;
images/000001_00000054.png;0.503627;
images/000001_00000080.png;0.501865;
images/000001_00000232.png;0.502782;
images/000001_00000343.png;0.501052;
images/000003_00000008.png;0.518153;
images/000003_00000025.png;0.500702;
images/000003_00000088.png;0.502364;
images/000003_00000139.png;0.501707;
images/000004_00000005.png;0.501145;
images/000005_00000013.png;0.502904;
images/000005_00000116.png;0.507124;
images/000005_00000274.png;0.502129;
images/000005_00000276.png;0.504217;
images/000006_00000060.png;0.500599;
images/000007_00000102.png;0.508236;
images/000008_00000102.png;0.500687;
images/000008_00000176.png;0.501235;
images/000008_00000180.png;0.500752;
images/000009_00000013.png;0.501385;
images/000009_00000046.png;0.502096;
images/000009_00000050.png;0.500480;
images/000009_00000054.png;0.501084;
images/000009_00000087.png;0.501550;
images/000009_00000130.png;0.505416;
images/000009_00000159.png;0.506319;
images/000009_00000173.png;0.508644;
images/000009_00000174.png;0.504253;
images/000009_00000264.png;0.502629;
images/000009_00000340.png;0.508675;
images/000009_00000371.png;0.504908;
images/000009_00000456.png;0.504056;
images/000009_00000465.png;0.505047;
images/000009_00000479.png;0.514249;
images/000009_00000490.png;0.505502;
images/000009_00000520.png;0.501318;
images/000009_00000534.png;0.502019;
images/000009_00000548.png;0.506293;
images/000009_00000551.png;0.500027;
images/000009_00000564.png;0.500622;
images/000009_00000565.png;0.504413;
images/000009_00000576.png;0.506135;
images/000009_00000587.png;0.506197;
images/000009_00000594.png;0.500526;
images/000009_00000606.png;0.503646;
images/000009_00000620.png;0.501515;
images/000009_00000630.png;0.506447;
images/000009_00000632.png;0.500716;
images/000009_00000660.png;0.501667;
images/000009_00000672.png;0.516899;
images/000009_00000680.png;0.502962;
images/000009_00000690.png;0.501333;
images/000009_00000694.png;0.501987;
images/000009_00000728.png;0.502870;
images/000009_00000755.png;0.503172;
images/000009_00000771.png;0.504597;
images/000009_00000773.png;0.503300;
images/000009_00000776.png;0.500909;
images/000009_00000786.png;0.507877;
images/000009_00000796.png;0.504868;
images/000009_00000801.png;0.500593;
images/000009_00000806.png;0.501976;
images/000009_00000810.png;0.517297;
images/000009_00000811.png;0.502431;
images/000009_00000822.png;0.502597;
images/000009_00000859.png;0.506015;
images/000009_00000867.png;0.502593;
