superpixel,nimage,technique,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy,kappa,global_accuracy,nfeat
50,2,cossine,123,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,2735,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,42,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,456,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,6854,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,7580,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,789,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,cossine,8900,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,123,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,2735,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,42,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,456,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,6854,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,7580,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,2,euclidean,8900,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,123,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,2735,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,42,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,456,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,6854,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,7580,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,3,cossine,8900,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
