superpixel,nimage,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy,kappa,global_accuracy,nfeat
50,2,1011,0.954023,0.975,0.810811,0.934426,0.952663,0.984043,0.901639,0.966102,0.957536,0.916871,0.953461,96800
50,2,1213,0.965517,0.975,0.851351,0.95082,0.940828,0.978723,0.918033,0.957627,0.961722,0.923739,0.957372,96800
50,2,123,0.954023,0.95,0.797297,0.918033,0.934911,0.978723,0.901639,0.940678,0.955742,0.907647,0.948377,96800
50,2,2735,0.954023,0.975,0.783784,0.901639,0.946746,0.978723,0.901639,0.966102,0.967703,0.923812,0.957763,96800
50,2,42,0.965517,0.95,0.797297,0.95082,0.91716,0.984043,0.918033,0.966102,0.958134,0.914667,0.952288,96800
50,2,456,0.954023,0.975,0.810811,0.95082,0.952663,0.984043,0.934426,0.949153,0.959928,0.920274,0.955417,96800
50,2,6854,0.954023,0.975,0.837838,0.967213,0.934911,0.978723,0.934426,0.940678,0.963517,0.922827,0.956981,96800
50,2,7580,0.954023,0.975,0.743243,0.967213,0.928994,0.978723,0.901639,0.983051,0.960526,0.915747,0.95307,96800
50,2,789,0.948276,0.975,0.810811,0.95082,0.91716,0.984043,0.918033,0.949153,0.960526,0.915055,0.952679,96800
50,2,8900,0.95977,0.975,0.824324,0.918033,0.940828,0.984043,0.918033,0.974576,0.962321,0.922964,0.956981,96800
50,3,1011,0.942529,0.975,0.797297,0.934426,0.923077,0.984043,0.934426,0.957627,0.967105,0.922415,0.956981,145200
50,3,1213,0.948276,0.975,0.851351,0.95082,0.952663,0.984043,0.934426,0.940678,0.963517,0.92501,0.958154,145200
50,3,123,0.954023,0.975,0.851351,0.934426,0.923077,0.984043,0.95082,0.966102,0.955144,0.915009,0.952288,145200
50,3,2735,0.95977,0.975,0.756757,0.967213,0.928994,0.984043,0.934426,0.966102,0.965909,0.924053,0.957763,145200
50,3,42,0.954023,0.975,0.810811,0.95082,0.940828,0.984043,0.95082,0.957627,0.957536,0.91764,0.953852,145200
50,3,456,0.954023,0.975,0.797297,0.934426,0.952663,0.984043,0.934426,0.966102,0.964115,0.924969,0.958154,145200
50,3,6854,0.948276,0.975,0.864865,0.934426,0.940828,0.978723,0.934426,0.966102,0.964115,0.925718,0.958545,145200
50,3,7580,0.948276,0.975,0.756757,0.918033,0.928994,0.978723,0.918033,0.957627,0.967703,0.920125,0.955808,145200
50,3,789,0.954023,0.975,0.878378,0.934426,0.923077,0.984043,0.934426,0.949153,0.967703,0.928306,0.96011,145200
50,3,8900,0.95977,0.975,0.783784,0.967213,0.946746,0.984043,0.918033,0.957627,0.962321,0.922213,0.95659,145200
50,4,1011,0.936782,0.975,0.837838,0.901639,0.928994,0.984043,0.918033,0.949153,0.95933,0.913024,0.951506,193600
50,4,1213,0.942529,0.975,0.837838,0.95082,0.934911,0.984043,0.934426,0.949153,0.958134,0.916081,0.95307,193600
50,4,123,0.95977,0.975,0.77027,0.918033,0.946746,0.978723,0.95082,0.940678,0.963517,0.919925,0.955417,193600
50,4,2735,0.954023,0.975,0.756757,0.95082,0.952663,0.984043,0.934426,0.966102,0.965909,0.925516,0.958545,193600
50,4,42,0.95977,0.975,0.783784,0.967213,0.940828,0.984043,0.934426,0.923729,0.958134,0.914675,0.952288,193600
50,4,456,0.954023,0.975,0.810811,0.967213,0.946746,0.984043,0.934426,0.957627,0.961124,0.922372,0.95659,193600
50,4,6854,0.942529,0.975,0.837838,0.934426,0.940828,0.978723,0.934426,0.940678,0.962321,0.919279,0.955025,193600
50,4,7580,0.948276,0.975,0.824324,0.967213,0.946746,0.984043,0.901639,0.966102,0.9689,0.930287,0.961283,193600
50,4,789,0.95977,0.975,0.810811,0.95082,0.923077,0.984043,0.934426,0.949153,0.955144,0.912145,0.950724,193600
50,4,8900,0.942529,0.975,0.810811,0.934426,0.940828,0.984043,0.918033,0.957627,0.956938,0.913285,0.951506,193600
50,5,1011,0.936782,0.975,0.77027,0.901639,0.940828,0.984043,0.95082,0.949153,0.955742,0.908304,0.948768,242000
50,5,1213,0.954023,0.95,0.810811,0.967213,0.934911,0.984043,0.934426,0.966102,0.965311,0.925582,0.958545,242000
50,5,123,0.948276,0.975,0.783784,0.95082,0.952663,0.984043,0.95082,0.949153,0.961124,0.920151,0.955417,242000
50,5,2735,0.954023,0.975,0.810811,0.934426,0.946746,0.984043,0.918033,0.957627,0.967703,0.927502,0.959718,242000
50,5,42,0.954023,0.975,0.810811,0.95082,0.928994,0.984043,0.934426,0.949153,0.966507,0.924759,0.958154,242000
50,5,456,0.95977,0.975,0.797297,0.901639,0.940828,0.984043,0.918033,0.957627,0.967703,0.925319,0.958545,242000
50,5,6854,0.948276,0.975,0.837838,0.983607,0.940828,0.978723,0.934426,0.940678,0.965909,0.926266,0.958936,242000
50,5,7580,0.954023,0.975,0.824324,0.967213,0.934911,0.984043,0.934426,0.974576,0.964115,0.926448,0.958936,242000
50,5,789,0.954023,0.975,0.810811,0.95082,0.940828,0.984043,0.934426,0.966102,0.960526,0.920967,0.955808,242000
50,5,8900,0.948276,0.975,0.783784,0.967213,0.952663,0.984043,0.934426,0.940678,0.965311,0.924092,0.957763,242000
