superpixel,filterReduction,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy,kappa,global_accuracy,nfeat
50,False,1011,0.965517,0.95,0.837838,0.934426,0.95858,0.984043,0.852459,0.940678,0.958134,0.916062,0.95307,211600
50,False,1213,0.965517,0.975,0.851351,0.918033,0.970414,0.984043,0.918033,0.974576,0.965909,0.932772,0.962456,211600
50,False,123,0.954023,1.0,0.797297,0.95082,0.946746,0.973404,0.868852,0.949153,0.949761,0.903883,0.94603,211600
50,False,2735,0.948276,0.975,0.756757,0.918033,0.952663,0.989362,0.901639,0.949153,0.962321,0.917069,0.953852,211600
50,False,42,0.850575,1.0,0.756757,0.754098,0.863905,0.968085,0.803279,0.923729,0.892943,0.802751,0.887368,211600
50,False,456,0.931035,0.975,0.783784,0.918033,0.964497,0.984043,0.901639,0.966102,0.963517,0.919926,0.955417,211600
50,False,6854,0.954023,0.975,0.824324,0.95082,0.964497,0.984043,0.918033,0.949153,0.969498,0.932455,0.962456,211600
50,False,7580,0.948276,1.0,0.743243,0.967213,0.95858,0.989362,0.918033,0.949153,0.964713,0.923349,0.957372,211600
50,False,789,0.942529,0.95,0.797297,0.918033,0.964497,0.984043,0.868852,0.966102,0.964115,0.920599,0.955808,211600
50,False,8900,0.942529,0.95,0.783784,0.934426,0.970414,0.984043,0.901639,0.957627,0.958134,0.915395,0.952679,211600
50,True,1011,0.885057,0.825,0.675676,0.770492,0.692308,0.898936,0.754098,0.754237,0.804426,0.665998,0.801721,25392
50,True,1213,0.885057,0.95,0.72973,0.754098,0.810651,0.723404,0.672131,0.872881,0.796053,0.659873,0.79781,25392
50,True,123,0.896552,0.95,0.72973,0.885246,0.846154,0.952128,0.786885,0.872881,0.662081,0.602513,0.736019,25392
50,True,2735,0.862069,0.775,0.702703,0.770492,0.786982,0.904255,0.672131,0.745763,0.839115,0.701181,0.827141,25392
50,True,42,0.91954,0.975,0.756757,0.819672,0.869823,0.968085,0.868852,0.915254,0.903708,0.828073,0.901838,25392
50,True,456,0.844828,0.9,0.743243,0.885246,0.798817,0.925532,0.590164,0.847458,0.847488,0.728507,0.842393,25392
50,True,6854,0.890805,0.975,0.743243,0.852459,0.869823,0.968085,0.836066,0.898305,0.889952,0.808385,0.889714,25392
50,True,7580,0.87931,0.8,0.77027,0.819672,0.579882,0.989362,0.770492,0.898305,0.6561,0.562825,0.714118,25392
50,True,789,0.925287,0.925,0.77027,0.770492,0.781065,0.962766,0.836066,0.855932,0.558612,0.525994,0.665233,25392
50,True,8900,0.885057,0.675,0.783784,0.836066,0.816568,0.898936,0.836066,0.830508,0.825359,0.715713,0.831443,25392
100,False,1011,0.948276,0.975,0.824324,0.967213,0.970414,0.984043,0.901639,0.974576,0.959928,0.923898,0.957372,423200
100,False,1213,0.95977,0.975,0.837838,0.918033,0.95858,0.984043,0.918033,0.957627,0.963517,0.925702,0.958545,423200
100,False,123,0.902299,0.975,0.77027,0.901639,0.928994,0.973404,0.868852,0.957627,0.947967,0.889459,0.938209,423200
100,False,2735,0.948276,0.975,0.77027,0.934426,0.940828,0.984043,0.901639,0.966102,0.966507,0.922446,0.956981,423200
100,False,42,0.971264,0.975,0.824324,0.934426,0.95858,0.984043,0.901639,0.974576,0.966507,0.931258,0.961674,423200
100,False,456,0.925287,0.975,0.756757,0.934426,0.970414,0.984043,0.901639,0.957627,0.966507,0.921707,0.95659,423200
100,False,6854,0.954023,0.975,0.837838,0.95082,0.970414,0.984043,0.934426,0.966102,0.964115,0.930033,0.960892,423200
100,False,7580,0.948276,0.975,0.851351,0.901639,0.964497,0.989362,0.918033,0.974576,0.969498,0.933894,0.963238,423200
100,False,789,0.95977,0.95,0.810811,0.934426,0.95858,0.984043,0.885246,0.966102,0.967105,0.927625,0.959718,423200
100,False,8900,0.95977,0.975,0.783784,0.918033,0.952663,0.978723,0.885246,0.966102,0.961124,0.917994,0.954243,423200
100,True,1011,0.827586,0.9,0.675676,0.819672,0.792899,0.941489,0.704918,0.822034,0.848086,0.724093,0.840438,25392
100,True,1213,0.913793,0.85,0.743243,0.819672,0.852071,0.930851,0.737705,0.864407,0.863636,0.764704,0.863512,25392
100,True,123,0.896552,0.95,0.756757,0.737705,0.828402,0.941489,0.819672,0.872881,0.892344,0.793575,0.882675,25392
100,True,2735,0.87931,0.925,0.72973,0.655738,0.792899,0.930851,0.737705,0.932203,0.891746,0.780126,0.875636,25392
100,True,42,0.87931,0.9,0.702703,0.868852,0.822485,0.925532,0.786885,0.805085,0.867225,0.758092,0.860383,25392
100,True,456,0.850575,0.95,0.702703,0.770492,0.816568,0.914894,0.819672,0.881356,0.605861,0.541601,0.689089,25392
100,True,6854,0.908046,0.975,0.756757,0.803279,0.810651,0.952128,0.868852,0.881356,0.892344,0.801444,0.886586,25392
100,True,7580,0.954023,0.725,0.716216,0.836066,0.680473,0.893617,0.901639,0.855932,0.633373,0.554981,0.702777,25392
100,True,789,0.91954,0.95,0.797297,0.721311,0.905325,0.973404,0.803279,0.923729,0.933014,0.858755,0.921001,25392
100,True,8900,0.965517,0.925,0.648649,1.0,0.763314,0.994681,0.786885,0.90678,0.499402,0.500765,0.633555,25392
150,False,1011,0.95977,0.975,0.797297,0.95082,0.952663,0.984043,0.901639,0.974576,0.961124,0.922294,0.95659,634800
150,False,1213,0.954023,0.975,0.878378,0.934426,0.964497,0.978723,0.901639,0.957627,0.970694,0.93532,0.96402,634800
150,False,123,0.91954,0.975,0.783784,0.934426,0.911243,0.978723,0.885246,0.966102,0.957536,0.904574,0.946813,634800
150,False,2735,0.936782,0.975,0.77027,0.934426,0.952663,0.989362,0.901639,0.966102,0.966507,0.923175,0.957372,634800
150,False,42,0.95977,0.975,0.810811,0.95082,0.95858,0.984043,0.901639,0.983051,0.967703,0.931869,0.962065,634800
150,False,456,0.91954,0.975,0.783784,0.934426,0.964497,0.978723,0.885246,0.957627,0.960526,0.913623,0.951897,634800
150,False,6854,0.942529,0.975,0.864865,0.918033,0.964497,0.984043,0.918033,0.949153,0.957536,0.918316,0.954243,634800
150,False,7580,0.936782,0.975,0.783784,0.934426,0.970414,0.989362,0.918033,0.974576,0.965909,0.926922,0.959327,634800
150,False,789,0.948276,0.975,0.797297,0.901639,0.95858,0.978723,0.885246,0.974576,0.960526,0.917342,0.953852,634800
150,False,8900,0.965517,0.95,0.810811,0.95082,0.95858,0.984043,0.934426,0.974576,0.964713,0.929361,0.960501,634800
150,True,1011,0.885057,0.875,0.756757,0.836066,0.83432,0.962766,0.803279,0.864407,0.892344,0.796831,0.884239,25392
150,True,1213,0.83908,0.9,0.824324,0.737705,0.775148,0.898936,0.672131,0.872881,0.827751,0.70652,0.827532,25392
150,True,123,0.856322,0.925,0.648649,0.770492,0.804734,0.920213,0.704918,0.923729,0.752392,0.648699,0.782167,25392
150,True,2735,0.896552,0.925,0.824324,0.836066,0.87574,0.962766,0.868852,0.966102,0.885167,0.813836,0.892061,25392
150,True,42,0.925287,0.875,0.783784,0.885246,0.863905,0.957447,0.836066,0.847458,0.897727,0.814602,0.894016,25392
150,True,456,0.844828,0.9,0.77027,0.770492,0.828402,0.946809,0.672131,0.847458,0.854665,0.742313,0.850606,25392
150,True,6854,0.902299,0.925,0.77027,0.737705,0.804734,0.962766,0.819672,0.872881,0.889952,0.79238,0.881502,25392
150,True,7580,0.833333,0.775,0.608108,0.868852,0.656805,0.962766,0.704918,0.830508,0.717105,0.593818,0.745405,25392
150,True,789,0.873563,0.975,0.783784,0.852459,0.887574,0.957447,0.803279,0.864407,0.897727,0.812133,0.892843,25392
150,True,8900,0.936782,0.925,0.77027,0.852459,0.863905,0.957447,0.819672,0.864407,0.918062,0.836982,0.908095,25392
200,False,1011,0.95977,1.0,0.824324,0.918033,0.95858,0.984043,0.901639,0.974576,0.966507,0.929788,0.960892,846400
200,False,1213,0.942529,0.975,0.824324,0.95082,0.970414,0.978723,0.885246,0.983051,0.969498,0.932407,0.962456,846400
200,False,123,0.942529,0.975,0.783784,0.95082,0.934911,0.978723,0.836066,0.957627,0.949163,0.898837,0.943293,846400
200,False,2735,0.954023,0.975,0.77027,0.918033,0.940828,0.989362,0.901639,0.957627,0.967703,0.923814,0.957763,846400
200,False,42,0.977012,0.975,0.783784,0.934426,0.95858,0.984043,0.885246,0.974576,0.968301,0.931066,0.961674,846400
200,False,456,0.931035,0.95,0.77027,0.868852,0.95858,0.978723,0.868852,0.974576,0.959928,0.910013,0.949941,846400
200,False,6854,0.936782,0.975,0.824324,0.95082,0.964497,0.978723,0.95082,0.940678,0.968301,0.928877,0.960501,846400
200,False,7580,0.942529,0.975,0.797297,0.885246,0.95858,0.978723,0.901639,0.966102,0.962919,0.918456,0.954634,846400
200,False,789,0.948276,0.95,0.797297,0.885246,0.952663,0.984043,0.885246,0.957627,0.966507,0.921024,0.956199,846400
200,False,8900,0.95977,0.95,0.810811,0.95082,0.946746,0.984043,0.868852,0.974576,0.962919,0.922233,0.95659,846400
200,True,1011,0.844828,0.825,0.675676,0.868852,0.745562,0.957447,0.836066,0.737288,0.782297,0.66344,0.795855,25392
200,True,1213,0.833333,0.825,0.891892,0.901639,0.751479,0.941489,0.721311,0.898305,0.660885,0.585014,0.726633,25392
200,True,123,0.965517,0.95,0.716216,0.836066,0.828402,0.941489,0.688525,0.915254,0.266746,0.370579,0.478295,25392
200,True,2735,0.908046,0.925,0.783784,0.934426,0.840237,0.968085,0.672131,0.898305,0.800837,0.719603,0.829097,25392
200,True,42,0.890805,0.875,0.810811,0.819672,0.828402,0.952128,0.754098,0.830508,0.910287,0.810599,0.893625,25392
200,True,456,0.833333,0.875,0.621622,0.918033,0.721893,0.920213,0.770492,0.881356,0.76256,0.646103,0.78334,25392
200,True,6854,0.816092,0.8,0.716216,0.606557,0.751479,0.925532,0.819672,0.813559,0.82177,0.685258,0.815409,25392
200,True,7580,0.896552,0.85,0.689189,0.803279,0.792899,0.93617,0.639344,0.805085,0.755981,0.644952,0.781384,25392
200,True,789,0.867816,0.975,0.72973,0.754098,0.893491,0.962766,0.737705,0.838983,0.902512,0.805243,0.889714,25392
200,True,8900,0.913793,0.95,0.77027,0.786885,0.846154,0.973404,0.803279,0.864407,0.903708,0.816763,0.895581,25392
