superpixel,seed,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy,kappa,global_accuracy,nfeat
100,1011,0.925287,0.925,0.783784,0.901639,0.952663,0.973404,0.918033,0.923729,0.949761,0.895822,0.941729,96800
100,1213,0.95977,0.975,0.824324,0.983607,0.946746,0.978723,0.934426,0.940678,0.964713,0.926311,0.958936,96800
100,123,0.942529,0.975,0.77027,0.934426,0.934911,0.978723,0.918033,0.923729,0.952751,0.902091,0.945248,96800
100,2735,0.954023,0.975,0.716216,0.934426,0.940828,0.989362,0.95082,0.966102,0.958732,0.914558,0.952288,96800
100,42,0.95977,0.975,0.783784,0.934426,0.928994,0.984043,0.934426,0.957627,0.960526,0.917293,0.953852,96800
100,456,0.931035,0.95,0.797297,0.934426,0.928994,0.984043,0.918033,0.932203,0.958134,0.907997,0.948768,96800
100,6854,0.936782,0.95,0.783784,0.95082,0.928994,0.973404,0.918033,0.957627,0.955742,0.906737,0.947986,96800
100,7580,0.948276,0.975,0.77027,0.95082,0.934911,0.978723,0.934426,0.957627,0.958732,0.913796,0.951897,96800
100,789,0.942529,0.95,0.797297,0.885246,0.952663,0.984043,0.934426,0.974576,0.956938,0.913342,0.951506,96800
100,8900,0.942529,0.95,0.756757,0.885246,0.940828,0.984043,0.918033,0.957627,0.951555,0.901449,0.944857,96800
15,1011,0.936782,0.975,0.743243,0.885246,0.911243,0.973404,0.918033,0.949153,0.944976,0.887583,0.937036,14520
15,1213,0.95977,0.95,0.837838,0.918033,0.95858,0.984043,0.95082,0.974576,0.955144,0.918596,0.954243,14520
15,123,0.91954,0.925,0.810811,0.934426,0.899408,0.973404,0.901639,0.957627,0.953947,0.898244,0.943293,14520
15,2735,0.931035,0.95,0.837838,0.934426,0.923077,0.984043,0.901639,0.966102,0.962321,0.916347,0.953461,14520
15,42,0.977012,0.925,0.810811,0.934426,0.91716,0.984043,0.918033,0.957627,0.952751,0.90875,0.948768,14520
15,456,0.91954,0.95,0.77027,0.934426,0.928994,0.973404,0.934426,0.940678,0.947368,0.89318,0.940164,14520
15,6854,0.936782,0.95,0.783784,0.918033,0.928994,0.973404,0.95082,0.957627,0.960526,0.912112,0.951115,14520
15,7580,0.925287,0.975,0.783784,0.934426,0.95858,0.978723,0.901639,0.974576,0.962321,0.917812,0.954243,14520
15,789,0.965517,0.975,0.716216,0.934426,0.952663,0.984043,0.885246,0.974576,0.961722,0.917859,0.954243,14520
15,8900,0.908046,0.95,0.797297,0.934426,0.940828,0.978723,0.868852,0.940678,0.941986,0.886628,0.936253,14520
150,1011,0.931035,0.925,0.743243,0.885246,0.946746,0.984043,0.918033,0.949153,0.956938,0.904549,0.946813,145200
150,1213,0.942529,0.975,0.864865,0.885246,0.946746,0.973404,0.934426,0.940678,0.963517,0.919823,0.955417,145200
150,123,0.91954,0.975,0.783784,0.885246,0.928994,0.973404,0.868852,0.923729,0.946172,0.886791,0.936644,145200
150,2735,0.95977,0.95,0.716216,0.95082,0.946746,0.984043,0.918033,0.957627,0.955742,0.909777,0.94955,145200
150,42,0.971264,0.975,0.756757,0.918033,0.95858,0.984043,0.901639,0.974576,0.952153,0.91095,0.949941,145200
150,456,0.931035,0.95,0.756757,0.934426,0.940828,0.984043,0.95082,0.949153,0.949761,0.901088,0.944466,145200
150,6854,0.948276,0.975,0.797297,0.901639,0.946746,0.973404,0.918033,0.966102,0.958732,0.913802,0.951897,145200
150,7580,0.954023,0.975,0.77027,0.95082,0.952663,0.984043,0.918033,0.974576,0.964713,0.92481,0.958154,145200
150,789,0.936782,0.95,0.743243,0.868852,0.928994,0.978723,0.901639,0.957627,0.954545,0.899582,0.944075,145200
150,8900,0.965517,0.95,0.824324,0.901639,0.928994,0.978723,0.95082,0.966102,0.95634,0.91415,0.951897,145200
200,1011,0.936782,0.95,0.77027,0.95082,0.940828,0.978723,0.934426,0.966102,0.949761,0.903279,0.945639,193600
200,1213,0.954023,0.975,0.864865,0.934426,0.934911,0.978723,0.934426,0.949153,0.963517,0.923512,0.957372,193600
200,123,0.936782,0.95,0.77027,0.901639,0.928994,0.973404,0.868852,0.932203,0.943182,0.885683,0.935862,193600
200,2735,0.942529,0.95,0.756757,0.983607,0.934911,0.984043,0.918033,0.966102,0.955144,0.909848,0.94955,193600
200,42,0.954023,0.925,0.824324,0.918033,0.946746,0.984043,0.934426,0.940678,0.950359,0.906081,0.947204,193600
200,456,0.931035,0.95,0.77027,0.901639,0.964497,0.989362,0.918033,0.923729,0.95634,0.907501,0.948377,193600
200,6854,0.936782,0.95,0.797297,0.934426,0.946746,0.978723,0.934426,0.949153,0.961124,0.915742,0.95307,193600
200,7580,0.95977,0.975,0.797297,0.918033,0.946746,0.978723,0.918033,0.966102,0.958134,0.916102,0.95307,193600
200,789,0.925287,0.95,0.756757,0.934426,0.940828,0.984043,0.885246,0.940678,0.953947,0.90108,0.944857,193600
200,8900,0.95977,0.925,0.810811,0.885246,0.934911,0.984043,0.901639,0.966102,0.955144,0.909194,0.949159,193600
25,1011,0.931035,0.975,0.797297,0.885246,0.923077,0.984043,0.918033,0.940678,0.960526,0.90912,0.94955,24200
25,1213,0.948276,0.975,0.864865,0.95082,0.934911,0.978723,0.95082,0.957627,0.962321,0.923676,0.957372,24200
25,123,0.896552,0.95,0.810811,0.95082,0.928994,0.973404,0.901639,0.957627,0.940789,0.886246,0.935862,24200
25,2735,0.954023,0.975,0.783784,0.95082,0.95858,0.978723,0.934426,0.957627,0.962919,0.922839,0.956981,24200
25,42,0.977012,0.925,0.824324,0.95082,0.946746,0.978723,0.95082,0.949153,0.952751,0.91386,0.951506,24200
25,456,0.936782,0.925,0.851351,0.901639,0.923077,0.973404,0.918033,0.957627,0.958732,0.9102,0.949941,24200
25,6854,0.948276,0.975,0.837838,0.983607,0.934911,0.984043,0.918033,0.932203,0.95634,0.914082,0.951897,24200
25,7580,0.95977,0.975,0.756757,0.95082,0.940828,0.973404,0.901639,0.957627,0.958134,0.91236,0.951115,24200
25,789,0.925287,0.95,0.77027,0.967213,0.905325,0.973404,0.934426,0.940678,0.958134,0.904312,0.946813,24200
