Misclassified Image; Certainty;
images/000001_00000004.png;0.509943;
images/000001_00000069.png;0.500129;
images/000001_00000109.png;0.511254;
images/000001_00000151.png;0.527475;
images/000001_00000161.png;0.507716;
images/000001_00000224.png;0.503888;
images/000001_00000238.png;0.535845;
images/000001_00000241.png;0.505373;
images/000001_00000279.png;0.516524;
images/000001_00000283.png;0.519611;
images/000001_00000309.png;0.508036;
images/000001_00000377.png;0.504287;
images/000001_00000384.png;0.516209;
images/000001_00000390.png;0.503255;
images/000002_00002462.png;0.507391;
images/000002_00002468.png;0.515508;
images/000002_00002476.png;0.541367;
images/000002_00002497.png;0.532704;
images/000002_00002525.png;0.502312;
images/000002_00002562.png;0.606177;
images/000002_00002570.png;0.539769;
images/000002_00002607.png;0.519843;
images/000002_00002609.png;0.510309;
images/000002_00002619.png;0.545597;
images/000002_00002630.png;0.504822;
images/000002_00002641.png;0.510070;
images/000002_00002682.png;0.521747;
images/000002_00002716.png;0.555886;
images/000002_00002729.png;0.501332;
images/000002_00002754.png;0.519095;
images/000002_00002767.png;0.523036;
images/000002_00002769.png;0.519374;
images/000002_00002775.png;0.534141;
images/000002_00002790.png;0.535918;
images/000002_00002792.png;0.515425;
images/000002_00002818.png;0.531295;
images/000002_00002819.png;0.512926;
images/000002_00002882.png;0.505264;
images/000002_00002884.png;0.550278;
images/000002_00002908.png;0.517209;
images/000002_00002926.png;0.522516;
images/000002_00002948.png;0.518902;
images/000002_00003006.png;0.542150;
images/000002_00003033.png;0.579374;
images/000002_00003067.png;0.538302;
