superpixel,nimage,seed,class1_accuracy,class2_accuracy,kappa,global_accuracy,nfeat
50,2,1011,0.896861,0.988918,0.896081,0.977234,24200
50,2,1213,0.847534,0.988266,0.862234,0.970404,24200
50,2,123,0.865471,0.985658,0.864379,0.970404,24200
50,2,2735,0.860987,0.981747,0.847606,0.96642,24200
50,2,42,0.847534,0.979791,0.832108,0.963005,24200
50,2,456,0.910314,0.98631,0.894909,0.976665,24200
50,2,6854,0.887892,0.990222,0.895269,0.977234,24200
50,2,7580,0.865471,0.988266,0.87383,0.972681,24200
50,2,789,0.847534,0.983703,0.845823,0.96642,24200
50,2,8900,0.865471,0.983051,0.855075,0.968127,24200
50,3,1011,0.883408,0.986962,0.880493,0.973819,36300
50,3,1213,0.883408,0.983703,0.868775,0.970973,36300
50,3,123,0.910314,0.98957,0.906834,0.979511,36300
50,3,2735,0.852018,0.980443,0.837274,0.964143,36300
50,3,42,0.896861,0.986962,0.888933,0.975526,36300
50,3,456,0.896861,0.983051,0.874882,0.972112,36300
50,3,6854,0.923767,0.985658,0.900794,0.977803,36300
50,3,7580,0.892377,0.98631,0.883767,0.974388,36300
50,3,789,0.892377,0.983051,0.872085,0.971542,36300
50,3,8900,0.887892,0.986962,0.883317,0.974388,36300
50,4,1011,0.878924,0.982399,0.861322,0.969266,48400
50,4,1213,0.874439,0.985007,0.867759,0.970973,48400
50,4,123,0.90583,0.985658,0.889783,0.975526,48400
50,4,2735,0.843049,0.985007,0.847544,0.966989,48400
50,4,42,0.901345,0.984355,0.882318,0.973819,48400
50,4,456,0.887892,0.985007,0.876257,0.972681,48400
50,4,6854,0.914798,0.986962,0.900035,0.977803,48400
50,4,7580,0.887892,0.986962,0.883317,0.974388,48400
50,4,789,0.910314,0.985658,0.892551,0.976096,48400
50,4,8900,0.910314,0.988266,0.902036,0.978372,48400
50,5,1011,0.0,1.0,0.0,0.873079,1210
50,5,1213,0.0,1.0,0.0,0.873079,1210
50,5,123,1.0,0.03781,0.009876,0.159932,60500
50,5,2735,0.121076,0.983051,0.154435,0.873648,60500
50,5,42,0.910314,0.984355,0.887863,0.974957,60500
50,5,456,1.0,0.03781,0.009876,0.159932,1210
50,5,6854,1.0,0.0,0.0,0.126921,60500
50,5,7580,1.0,0.0,0.0,0.126921,60500
50,5,789,0.0,1.0,0.0,0.873079,1210
50,5,8900,1.0,0.03781,0.009876,0.159932,60500
