superpixel,filterReduction,seed,class1_accuracy,class2_accuracy,kappa,global_accuracy,nfeat
50,False,1011,0.892377,0.987614,0.888503,0.975526,52900
50,False,1213,0.843049,0.98631,0.852222,0.968127,52900
50,False,123,0.856502,0.981747,0.844723,0.965851,52900
50,False,2735,0.852018,0.981095,0.839548,0.964713,52900
50,False,42,0.865471,0.983703,0.857388,0.968697,52900
50,False,456,0.860987,0.985007,0.859163,0.969266,52900
50,False,6854,0.883408,0.983703,0.868775,0.970973,52900
50,False,7580,0.856502,0.988266,0.868055,0.971542,52900
50,False,789,0.874439,0.988918,0.881947,0.974388,52900
50,False,8900,0.910314,0.985658,0.892551,0.976096,52900
50,True,1011,0.690583,0.958279,0.655139,0.924303,21160
50,True,1213,0.695067,0.966102,0.682081,0.931702,21160
50,True,123,0.757848,0.966102,0.726734,0.93967,21160
50,True,2735,0.793722,0.971969,0.770117,0.949345,21160
50,True,42,0.798206,0.977184,0.790538,0.954468,21160
50,True,456,0.762332,0.981095,0.779264,0.95333,21160
50,True,6854,0.834081,0.966754,0.779911,0.949915,21160
50,True,7580,0.762332,0.983051,0.786051,0.955037,21160
50,True,789,0.726457,0.970665,0.719171,0.93967,21160
50,True,8900,0.90583,0.972621,0.844468,0.964143,21160
100,False,1011,0.892377,0.98631,0.883767,0.974388,105800
100,False,1213,0.838565,0.984355,0.842287,0.965851,105800
100,False,123,0.887892,0.985007,0.876257,0.972681,105800
100,False,2735,0.852018,0.988918,0.867533,0.971542,105800
100,False,42,0.878924,0.987614,0.880028,0.973819,105800
100,False,456,0.874439,0.98957,0.884344,0.974957,105800
100,False,6854,0.892377,0.985658,0.881412,0.973819,105800
100,False,7580,0.869955,0.987614,0.874323,0.972681,105800
100,False,789,0.887892,0.985007,0.876257,0.972681,105800
100,False,8900,0.914798,0.991525,0.916864,0.981787,105800
100,True,1011,0.735426,0.950456,0.664244,0.923164,21160
100,True,1213,0.744395,0.969361,0.7277,0.940808,21160
100,True,123,0.838565,0.96545,0.77865,0.949345,21160
100,True,2735,0.757848,0.971969,0.745531,0.944792,21160
100,True,42,0.775785,0.976532,0.773055,0.951053,21160
100,True,456,0.865471,0.979791,0.843645,0.965282,21160
100,True,6854,0.847534,0.97588,0.818707,0.95959,21160
100,True,7580,0.7713,0.974576,0.763431,0.948776,21160
100,True,789,0.686099,0.962842,0.665519,0.927718,21160
100,True,8900,0.793722,0.97588,0.783107,0.95276,21160
150,False,1011,0.887892,0.984355,0.873921,0.972112,158700
150,False,1213,0.856502,0.983703,0.851628,0.967558,158700
150,False,123,0.90583,0.98631,0.892139,0.976096,158700
150,False,2735,0.869955,0.984355,0.862574,0.969835,158700
150,False,42,0.874439,0.988918,0.881947,0.974388,158700
150,False,456,0.865471,0.98631,0.866728,0.970973,143888
150,False,6854,0.887892,0.985007,0.876257,0.972681,158700
150,False,7580,0.865471,0.983051,0.855075,0.968127,158700
150,False,789,0.883408,0.985658,0.875779,0.972681,158700
150,False,8900,0.896861,0.98631,0.886568,0.974957,158700
150,True,1011,0.735426,0.967405,0.715165,0.937962,21160
150,True,1213,0.654709,0.949153,0.602706,0.911781,21160
150,True,123,0.766816,0.977836,0.771253,0.951053,21160
150,True,2735,0.825112,0.973924,0.797508,0.955037,21160
150,True,42,0.843049,0.97588,0.815802,0.959021,21160
150,True,456,0.802691,0.977836,0.795774,0.955606,21160
150,True,6854,0.843049,0.985007,0.847544,0.966989,21160
150,True,7580,0.820628,0.980443,0.816721,0.960159,21160
150,True,789,0.762332,0.968709,0.738112,0.942516,21160
150,True,8900,0.820628,0.982399,0.823541,0.961867,21160
200,False,1011,0.869955,0.988266,0.8767,0.97325,211600
200,False,1213,0.869955,0.985007,0.864905,0.970404,188324
200,False,123,0.860987,0.983703,0.854513,0.968127,202078
200,False,2735,0.838565,0.983051,0.837667,0.964713,211600
200,False,42,0.874439,0.988266,0.879559,0.973819,211600
200,False,456,0.865471,0.988918,0.876215,0.97325,170338
200,False,6854,0.847534,0.980443,0.834372,0.963574,204723
200,False,7580,0.860987,0.985658,0.861502,0.969835,211600
200,False,789,0.878924,0.98957,0.887194,0.975526,211600
200,False,8900,0.90583,0.988918,0.901658,0.978372,211600
200,True,1011,0.70852,0.960887,0.675882,0.928856,21160
200,True,1213,0.686099,0.947197,0.620222,0.914058,21160
200,True,123,0.793722,0.973273,0.774414,0.950484,21160
200,True,2735,0.834081,0.966754,0.779911,0.949915,21160
200,True,42,0.775785,0.976532,0.773055,0.951053,21160
200,True,456,0.802691,0.978488,0.797998,0.956175,21160
200,True,6854,0.847534,0.97588,0.818707,0.95959,21160
200,True,7580,0.798206,0.979791,0.799444,0.956744,21160
200,True,789,0.748879,0.966102,0.720503,0.938532,21160
200,True,8900,0.780269,0.97588,0.773945,0.951053,21160
