superpixel,seed,class1_accuracy,class2_accuracy,kappa,global_accuracy,nfeat
100,1011,0.901345,0.984355,0.882318,0.973819,24200
100,1213,0.887892,0.981747,0.864668,0.969835,24200
100,123,0.829596,0.985007,0.838709,0.965282,24200
100,2735,0.860987,0.988918,0.873333,0.972681,24200
100,42,0.847534,0.985007,0.850466,0.967558,24200
100,456,0.883408,0.986962,0.880493,0.973819,24200
100,6854,0.834081,0.984355,0.839344,0.965282,24200
100,7580,0.834081,0.976532,0.812168,0.958452,24200
100,789,0.896861,0.97588,0.849939,0.965851,24200
100,8900,0.856502,0.972621,0.813533,0.957883,24200
15,1011,0.874439,0.98957,0.884344,0.974957,3630
15,1213,0.843049,0.980443,0.831459,0.963005,3630
15,123,0.856502,0.981747,0.844723,0.965851,3630
15,2735,0.834081,0.980443,0.825598,0.961867,3630
15,42,0.838565,0.975228,0.810686,0.957883,3630
15,456,0.874439,0.98631,0.872452,0.972112,3630
15,6854,0.829596,0.985007,0.838709,0.965282,3630
15,7580,0.852018,0.980443,0.837274,0.964143,3630
15,789,0.892377,0.978488,0.8561,0.967558,3630
15,8900,0.829596,0.983051,0.831773,0.963574,3630
150,1011,0.869955,0.981747,0.853337,0.967558,36300
150,1213,0.883408,0.97914,0.852743,0.966989,36300
150,123,0.852018,0.983703,0.848731,0.966989,36300
150,2735,0.852018,0.988266,0.86515,0.970973,36300
150,42,0.883408,0.984355,0.871101,0.971542,36300
150,456,0.901345,0.986962,0.891725,0.976096,32912
150,6854,0.869955,0.987614,0.874323,0.972681,36300
150,7580,0.869955,0.985007,0.864905,0.970404,36300
150,789,0.887892,0.975228,0.842142,0.964143,36300
150,8900,0.847534,0.981095,0.836644,0.964143,36300
200,1011,0.874439,0.983051,0.860789,0.969266,48400
200,1213,0.860987,0.983051,0.852202,0.967558,43076
200,123,0.860987,0.984355,0.856834,0.968697,46222
200,2735,0.892377,0.987614,0.888503,0.975526,48400
200,42,0.878924,0.983703,0.865945,0.970404,48400
200,456,0.892377,0.986962,0.88613,0.974957,38962
200,6854,0.883408,0.990222,0.89244,0.976665,46827
200,7580,0.869955,0.983051,0.857937,0.968697,48400
200,789,0.901345,0.981095,0.87076,0.970973,48400
200,8900,0.860987,0.985007,0.859163,0.969266,48400
25,1011,0.878924,0.985658,0.872945,0.972112,6050
25,1213,0.820628,0.986962,0.839773,0.965851,6050
25,123,0.860987,0.98631,0.86385,0.970404,6050
25,2735,0.811659,0.987614,0.836123,0.965282,6050
25,42,0.838565,0.983703,0.839973,0.965282,6050
25,456,0.829596,0.984355,0.836388,0.964713,6050
25,6854,0.914798,0.97914,0.87221,0.970973,6050
25,7580,0.874439,0.980443,0.851618,0.966989,6050
25,789,0.860987,0.981747,0.847606,0.96642,6050
25,8900,0.883408,0.976532,0.843771,0.964713,6050
50,1011,0.901345,0.984355,0.882318,0.973819,12100
50,1213,0.865471,0.984355,0.85971,0.969266,12100
50,123,0.878924,0.983051,0.863629,0.969835,12100
50,2735,0.856502,0.982399,0.847016,0.96642,12100
50,42,0.887892,0.97914,0.855555,0.967558,12100
50,456,0.90583,0.98631,0.892139,0.976096,12100
50,6854,0.883408,0.985658,0.875779,0.972681,12100
50,7580,0.847534,0.983703,0.845823,0.96642,12100
50,789,0.892377,0.980443,0.862898,0.969266,12100
50,8900,0.829596,0.97914,0.818142,0.960159,12100
75,1011,0.829596,0.985007,0.838709,0.965282,18150
75,1213,0.887892,0.987614,0.885689,0.974957,18150
75,123,0.887892,0.985007,0.876257,0.972681,18150
75,2735,0.883408,0.984355,0.871101,0.971542,18150
75,42,0.896861,0.983051,0.874882,0.972112,18150
75,456,0.860987,0.980443,0.843045,0.965282,18150
75,6854,0.802691,0.984355,0.81841,0.961298,18150
75,7580,0.807175,0.983703,0.81913,0.961298,18150
75,789,0.910314,0.978488,0.867198,0.969835,18150
75,8900,0.860987,0.980443,0.843045,0.965282,18150
