superpixel,nimage,technique,seed,class1_accuracy,class2_accuracy,kappa,global_accuracy,nfeat
50,2,cossine,1011,0.874439,0.988266,0.879559,0.973819,24200
50,2,cossine,1213,0.887892,0.987614,0.885689,0.974957,24200
50,2,cossine,123,0.878924,0.988918,0.884796,0.974957,24200
50,2,cossine,2735,0.852018,0.986962,0.860413,0.969835,24200
50,2,cossine,42,0.860987,0.988266,0.870948,0.972112,24200
50,2,cossine,456,0.869955,0.984355,0.862574,0.969835,24200
50,2,cossine,6854,0.878924,0.98631,0.875297,0.972681,24200
50,2,cossine,7580,0.856502,0.987614,0.865681,0.970973,24200
50,2,cossine,789,0.860987,0.990874,0.880544,0.974388,24200
50,2,cossine,8900,0.860987,0.985658,0.861502,0.969835,24200
50,2,euclidean,1011,0.874439,0.988266,0.879559,0.973819,24200
50,2,euclidean,1213,0.860987,0.985007,0.859163,0.969266,24200
50,2,euclidean,123,0.878924,0.988918,0.884796,0.974957,24200
50,2,euclidean,2735,0.852018,0.986962,0.860413,0.969835,24200
50,2,euclidean,42,0.887892,0.988266,0.88807,0.975526,24200
50,2,euclidean,456,0.869955,0.984355,0.862574,0.969835,24200
50,2,euclidean,6854,0.878924,0.98631,0.875297,0.972681,24200
50,2,euclidean,7580,0.856502,0.987614,0.865681,0.970973,24200
50,2,euclidean,789,0.860987,0.990874,0.880544,0.974388,24200
50,2,euclidean,8900,0.860987,0.985658,0.861502,0.969835,24200
50,3,cossine,1011,0.869955,0.990874,0.886303,0.975526,36300
50,3,cossine,1213,0.865471,0.986962,0.869086,0.971542,36300
50,3,cossine,123,0.883408,0.983703,0.868775,0.970973,36300
50,3,cossine,2735,0.901345,0.987614,0.894099,0.976665,36300
50,3,cossine,42,0.901345,0.990222,0.903688,0.978941,36300
50,3,cossine,456,0.901345,0.98957,0.901277,0.978372,36300
50,3,cossine,6854,0.887892,0.991525,0.900115,0.978372,36300
50,3,cossine,7580,0.856502,0.988266,0.868055,0.971542,36300
50,3,cossine,789,0.869955,0.990222,0.883888,0.974957,36300
50,3,cossine,8900,0.883408,0.985007,0.873435,0.972112,36300
50,3,euclidean,1011,0.869955,0.990874,0.886303,0.975526,36300
50,3,euclidean,1213,0.865471,0.986962,0.869086,0.971542,36300
50,3,euclidean,123,0.883408,0.983703,0.868775,0.970973,36300
50,3,euclidean,2735,0.901345,0.987614,0.894099,0.976665,36300
50,3,euclidean,42,0.901345,0.990222,0.903688,0.978941,36300
50,3,euclidean,456,0.901345,0.98957,0.901277,0.978372,36300
50,3,euclidean,6854,0.887892,0.991525,0.900115,0.978372,36300
50,3,euclidean,7580,0.856502,0.988266,0.868055,0.971542,36300
50,3,euclidean,789,0.869955,0.990222,0.883888,0.974957,36300
50,3,euclidean,8900,0.883408,0.985007,0.873435,0.972112,36300
50,4,cossine,1011,0.892377,0.987614,0.888503,0.975526,48400
50,4,cossine,1213,0.860987,0.992829,0.887841,0.976096,48400
50,4,cossine,123,0.901345,0.98957,0.901277,0.978372,48400
50,4,cossine,2735,0.883408,0.990222,0.89244,0.976665,48400
50,4,cossine,42,0.90583,0.988918,0.901658,0.978372,48400
50,4,cossine,456,0.892377,0.991525,0.902934,0.978941,48400
50,4,cossine,6854,0.901345,0.990222,0.903688,0.978941,48400
50,4,cossine,7580,0.865471,0.98957,0.878611,0.973819,48400
50,4,cossine,789,0.896861,0.987614,0.891306,0.976096,48400
50,4,cossine,8900,0.892377,0.987614,0.888503,0.975526,48400
50,4,euclidean,1011,0.892377,0.987614,0.888503,0.975526,48400
50,4,euclidean,1213,0.860987,0.992829,0.887841,0.976096,48400
50,4,euclidean,123,0.901345,0.98957,0.901277,0.978372,48400
50,4,euclidean,2735,0.883408,0.990222,0.89244,0.976665,48400
50,4,euclidean,42,0.90583,0.988918,0.901658,0.978372,48400
50,4,euclidean,456,0.892377,0.991525,0.902934,0.978941,48400
50,4,euclidean,6854,0.901345,0.990222,0.903688,0.978941,48400
50,4,euclidean,7580,0.865471,0.98957,0.878611,0.973819,48400
50,4,euclidean,789,0.896861,0.987614,0.891306,0.976096,48400
50,4,euclidean,8900,0.892377,0.987614,0.888503,0.975526,48400
50,5,cossine,1011,0.869955,0.98631,0.869596,0.971542,60500
50,5,cossine,1213,0.896861,0.98957,0.898482,0.977803,60500
50,5,cossine,123,0.90583,0.990874,0.908894,0.98008,60500
50,5,cossine,2735,0.90583,0.990222,0.906473,0.979511,60500
50,5,cossine,42,0.892377,0.98957,0.895676,0.977234,60500
50,5,cossine,456,0.892377,0.988918,0.893276,0.976665,60500
50,5,cossine,6854,0.874439,0.991525,0.891591,0.976665,60500
50,5,cossine,7580,0.919282,0.988266,0.907548,0.979511,60500
50,5,cossine,789,0.892377,0.988918,0.893276,0.976665,60500
50,5,cossine,8900,0.883408,0.988918,0.887634,0.975526,60500
50,5,euclidean,1011,0.869955,0.98631,0.869596,0.971542,60500
50,5,euclidean,1213,0.896861,0.98957,0.898482,0.977803,60500
50,5,euclidean,123,0.90583,0.990874,0.908894,0.98008,60500
50,5,euclidean,2735,0.90583,0.990222,0.906473,0.979511,60500
50,5,euclidean,42,0.892377,0.98957,0.895676,0.977234,60500
50,5,euclidean,456,0.892377,0.988918,0.893276,0.976665,60500
50,5,euclidean,6854,0.874439,0.991525,0.891591,0.976665,60500
50,5,euclidean,7580,0.919282,0.988266,0.907548,0.979511,60500
50,5,euclidean,789,0.892377,0.988918,0.893276,0.976665,60500
50,5,euclidean,8900,0.883408,0.988918,0.887634,0.975526,60500
